#  x1          x2         x3       x4        y
  -0.4268    2.0323    0.1786    0.3549    2.9697
    0.6938   -0.1452    0.3842    0.9663    2.9582
   -0.3455   -0.1866    0.8615    0.0356    2.1798
    1.6567   -1.2350    0.2160    0.7973    3.8198
   -0.1703   -0.0261    0.2554    0.3221    3.1120
   -1.7509   -0.2268    0.7686    0.0730    1.5474
   -0.9281    1.3388    0.3582    0.9931    2.3519
   -0.5147   -1.0709    0.7797    0.9031    2.0128
    0.5365   -1.0156    0.5531    0.8517    2.7171
   -0.6856    0.2831    0.3603    0.1595    2.6472
   -0.7373    0.4441    0.5911    0.8864    2.1911
   -2.2622    2.3653    0.2050    0.3820    2.2181
   -1.9517   -0.9163    0.9468    0.4296    2.2020
    1.2022   -0.2237    0.1460    0.8743    3.2846
   -1.4321   -0.5856    0.2497    0.8476    2.1782
    1.7006   -0.7559    0.4545    0.5960    4.3424
   -0.9659    1.0815    0.3673    0.8282    2.3550
    0.1865   -0.6752    0.4048    0.6835    3.1128
   -1.0595    0.6291    0.7276    0.7220    2.4170
    1.3749    0.2449    0.5306    0.6094    3.6919
    0.3099    1.7923    0.4546    0.9816    2.8068
   -0.1787    1.3699    0.3889    0.0396    2.5211
   -0.7584   -1.6821    0.7134    0.1516    2.2857
   -1.8705   -0.3662    0.9518    0.5112    2.1689
   -0.5214   -0.0430    0.2930    0.6887    3.0214
    1.6425   -0.1328    0.9978    0.6174    3.9528
    0.3134   -1.0006    0.8974    0.7181    3.0522
    0.7335    1.9518    0.6688    0.1673    2.8730
    1.4115   -0.2013    0.1012    0.4454    4.3081
    0.3303   -0.4426    0.0554    0.3122    3.4680
    0.0197    2.3338    0.3649    0.7101    3.1930
    1.0842    0.2429    0.0146    0.3780    3.6742
   -0.9703   -0.7390    0.7047    0.2162    1.9222
    2.1729    0.3347    0.2790    0.6556    4.3144
    0.6433   -0.6456    0.7910    0.6716    3.3212
    0.9558   -1.2588    0.9524    0.2520    3.2868
    0.8441   -0.8286    0.9022    0.3590    3.2778
   -0.7376    0.2137    0.9121    0.9826    2.2101
   -0.3464    1.8916    0.0254    0.7095    3.1232
   -0.0464   -2.2206    0.1841    0.8791    2.6110
   -0.0260    0.2800    0.2584    0.5183    4.0161
    1.1040    0.2902    0.0323    0.7150    3.6129
    0.5306    0.6909    0.1778    0.2662    3.3476
   -0.8064    0.4964    0.9899    0.3166    2.4245
   -1.0009    0.6339    0.7056    0.3706    2.1875
    0.9864    0.9331    0.3014    0.0239    3.2722
    1.6024   -0.5683    0.4855    0.7787    3.5122
   -0.4883   -0.9027    0.1591    0.6736    3.3339
    0.1506    0.1788    0.6775    0.0530    2.1417
   -1.4023   -0.9757    0.0962    0.5407    3.0388
    0.5358   -1.1882    0.4674    0.7923    3.1125
    1.1189   -0.9888    0.2798    0.3249    3.8286
    2.1075    0.3369    0.3042    0.8174    3.6042
   -0.5337   -0.6932    0.8524    0.5892    2.7969
    0.6251   -0.1768    0.2695    0.9307    3.1229
   -0.5335    1.8543    0.7852    0.6130    2.7601
   -2.8074   -0.3595    0.7280    0.9220    0.7752
   -0.1739    0.8607    0.0712    0.1835    2.4778
   -0.8484   -0.2008    0.9087    0.4636    3.0966
    1.3214    0.4814    0.1128    0.6104    4.1983
    1.0284    0.3189    0.7463    0.7399    3.2864
   -1.6391    0.4584    0.2110    0.9064    1.4104
    0.4963    0.4130    0.4223    0.2360    3.1774
   -1.2450    1.1707    0.7955    0.6413    2.4923
   -0.9589   -1.0303    0.0158    0.8463    2.2984
    0.8783   -0.6137    0.4794    0.1759    2.7861
    0.2820   -1.2810    0.2970    0.6226    3.4966
    0.4524   -0.8303    0.1632    0.3306    3.8712
   -0.6907   -0.3319    0.4979    0.6159    2.7399
   -0.6136    1.5252    0.1448    0.8850    2.3562
   -0.8823    0.8282    0.0491    0.2720    2.3613
    0.3235    1.5274    0.6569    0.8923    2.4203
   -2.4040    0.7340    0.6913    0.9446    1.1530
    1.8050   -1.5835    0.5749    0.1323    3.2154
   -1.0963    0.4199    0.3036    0.2924    1.8711
    0.7625   -1.7387    0.5026    0.0555    2.8373
   -1.7835   -1.9886    0.3260    0.7438    2.0419
   -0.8410    0.2765    0.5384    0.2802    2.8308
   -0.5031    0.7404    0.5204    0.3873    2.7123
    1.8147    1.5492    0.6065    0.8435    3.0680
    0.6627    0.5079    0.6222    0.8765    2.8179
   -1.0034   -2.8029    0.8472    0.3298    2.1196
    1.6384   -0.0073    0.6830    0.4528    4.1762
    0.1270    0.0660    0.9123    0.9239    2.6457
   -1.3550    1.4989    0.2914    0.6613    2.3645
   -1.4112   -1.3579    0.3810    0.9786    2.0714
   -0.6682   -0.1199    0.1247    0.9160    2.1537
   -0.8225   -1.7994    0.8167    0.9256    2.0341
   -0.2896    1.3820    0.6990    0.0141    2.1672
    1.4518   -0.3081    0.1646    0.3389    3.5858
   -0.5960   -1.2218    0.3498    0.3315    2.9210
    0.8406    0.0259    0.2467    0.7503    3.2441
   -0.9133   -0.8520    0.2983    0.4109    3.1003
   -0.5143    0.6260    0.8881    0.8994    2.0095
    1.0877    0.2671    0.6469    0.2174    2.7906
    0.3628   -2.0568    0.1869    0.8457    3.1418
   -0.5723   -0.4540    0.1676    0.9218    2.1712
    1.2638   -0.2289    0.3479    0.7081    3.8494
   -0.6805   -0.0604    0.5109    0.8627    2.1714
    0.6870    0.4724    0.0722    0.4110    3.5634
